5885.384 5885.628 0.967 5885.519
5887.013 5889.566 0.940 5888.303
5893.029 5893.526 0.957 5893.256
5893.806 5894.199 0.959 5894.006
5899.555 5899.970 0.946 5899.771
5900.457 5900.788 0.973 5900.629
5901.351 5901.827 0.943 5901.620
5902.875 5903.313 0.935 5903.073
5910.493 5910.784 0.970 5910.634
5911.998 5912.677 0.962 5912.293
5914.386 5914.756 0.970 5914.584
5915.600 5916.037 0.974 5915.809
5916.367 5917.406 0.973 5916.912
5919.867 5920.275 0.954 5920.075
5920.508 5920.828 0.947 5920.663
5921.100 5921.498 0.938 5921.269
5925.684 5926.092 0.953 5925.894
5929.679 5930.077 0.970 5929.912
5933.582 5933.951 0.951 5933.740
5934.252 5934.572 0.970 5934.397
5941.917 5942.267 0.974 5942.098
5942.461 5942.946 0.943 5942.711
5943.121 5943.461 0.941 5943.265
5943.830 5944.491 0.947 5944.143
5945.670 5947.884 0.934 5946.901
5948.302 5948.865 0.958 5948.594
5950.612 5951.642 0.968 5951.082
5956.433 5956.821 0.976 5956.607
5959.288 5960.501 0.967 5959.846
6277.848 6287.767 0.725 6281.727
6289.205 6289.852 0.889 6289.534
6290.678 6292.295 0.841 6291.512
6293.589 6294.991 0.840 6294.283
6296.644 6298.010 0.814 6297.306
6299.878 6301.280 0.815 6300.598
6303.329 6304.838 0.816 6304.113
6307.276 6308.660 0.842 6307.958
6311.292 6312.709 0.884 6312.011
6315.645 6317.264 0.896 6316.484
6320.250 6321.580 0.950 6320.900
6325.070 6326.580 0.970 6325.800
6473.992 6475.166 0.961 6474.568
6476.613 6477.788 0.904 6477.238
6480.737 6482.103 0.926 6481.517
6484.698 6485.954 0.920 6485.326
6488.412 6488.712 0.957 6488.551
6490.706 6491.116 0.970 6490.929
6492.317 6492.836 0.912 6492.583
6494.475 6494.912 0.932 6494.695
6497.425 6497.889 0.907 6497.661
6499.063 6499.637 0.973 6499.349
6510.206 6510.509 0.965 6510.393
6513.543 6514.244 0.966 6513.916
